start_sec,stage,stage_name
0,0,Sleep stage W
30,0,Sleep stage W
60,0,Sleep stage W
90,0,Sleep stage W
120,0,Sleep stage W
150,0,Sleep stage W
180,0,Sleep stage W
210,0,Sleep stage W
240,0,Sleep stage W
270,0,Sleep stage W
300,0,Sleep stage W
330,0,Sleep stage W
360,0,Sleep stage W
390,0,Sleep stage W
420,0,Sleep stage W
450,0,Sleep stage W
480,0,Sleep stage W
510,0,Sleep stage W
540,0,Sleep stage W
570,0,Sleep stage W
600,0,Sleep stage W
630,0,Sleep stage W
660,0,Sleep stage W
690,0,Sleep stage W
720,0,Sleep stage W
750,0,Sleep stage W
780,0,Sleep stage W
810,0,Sleep stage W
840,0,Sleep stage W
870,0,Sleep stage W
900,0,Sleep stage W
930,0,Sleep stage W
960,0,Sleep stage W
990,0,Sleep stage W
1020,0,Sleep stage W
1050,0,Sleep stage W
1080,0,Sleep stage W
1110,0,Sleep stage W
1140,0,Sleep stage W
1170,0,Sleep stage W
1200,0,Sleep stage W
1230,0,Sleep stage W
1260,0,Sleep stage W
1290,0,Sleep stage W
1320,0,Sleep stage W
1350,0,Sleep stage W
1380,0,Sleep stage W
1410,0,Sleep stage W
1440,0,Sleep stage W
1470,0,Sleep stage W
1500,0,Sleep stage W
1530,0,Sleep stage W
1560,0,Sleep stage W
1590,0,Sleep stage W
1620,0,Sleep stage W
1650,0,Sleep stage W
1680,0,Sleep stage W
1710,0,Sleep stage W
1740,0,Sleep stage W
1770,0,Sleep stage W
1800,0,Sleep stage W
1830,0,Sleep stage W
1860,0,Sleep stage W
1890,0,Sleep stage W
1920,0,Sleep stage W
1950,0,Sleep stage W
1980,0,Sleep stage W
2010,0,Sleep stage W
2040,0,Sleep stage W
2070,0,Sleep stage W
2100,0,Sleep stage W
2130,0,Sleep stage W
2160,0,Sleep stage W
2190,0,Sleep stage W
2220,0,Sleep stage W
2250,0,Sleep stage W
2280,0,Sleep stage W
2310,0,Sleep stage W
2340,0,Sleep stage W
2370,0,Sleep stage W
2400,0,Sleep stage W
2430,0,Sleep stage W
2460,0,Sleep stage W
2490,0,Sleep stage W
2520,0,Sleep stage W
2550,0,Sleep stage W
2580,0,Sleep stage W
2610,0,Sleep stage W
2640,0,Sleep stage W
2670,0,Sleep stage W
2700,0,Sleep stage W
2730,0,Sleep stage W
2760,0,Sleep stage W
2790,0,Sleep stage W
2820,0,Sleep stage W
2850,0,Sleep stage W
2880,0,Sleep stage W
2910,0,Sleep stage W
2940,0,Sleep stage W
2970,0,Sleep stage W
3000,0,Sleep stage W
3030,0,Sleep stage W
3060,0,Sleep stage W
3090,0,Sleep stage W
3120,0,Sleep stage W
3150,0,Sleep stage W
3180,0,Sleep stage W
3210,0,Sleep stage W
3240,0,Sleep stage W
3270,0,Sleep stage W
3300,0,Sleep stage W
3330,0,Sleep stage W
3360,0,Sleep stage W
3390,0,Sleep stage W
3420,0,Sleep stage W
3450,0,Sleep stage W
3480,0,Sleep stage W
3510,0,Sleep stage W
3540,0,Sleep stage W
3570,0,Sleep stage W
3600,0,Sleep stage W
3630,0,Sleep stage W
3660,0,Sleep stage W
3690,0,Sleep stage W
3720,0,Sleep stage W
3750,0,Sleep stage W
3780,0,Sleep stage W
3810,0,Sleep stage W
3840,0,Sleep stage W
3870,0,Sleep stage W
3900,0,Sleep stage W
3930,0,Sleep stage W
3960,0,Sleep stage W
3990,0,Sleep stage W
4020,0,Sleep stage W
4050,0,Sleep stage W
4080,0,Sleep stage W
4110,0,Sleep stage W
4140,0,Sleep stage W
4170,0,Sleep stage W
4200,0,Sleep stage W
4230,0,Sleep stage W
4260,0,Sleep stage W
4290,0,Sleep stage W
4320,0,Sleep stage W
4350,0,Sleep stage W
4380,0,Sleep stage W
4410,0,Sleep stage W
4440,0,Sleep stage W
4470,0,Sleep stage W
4500,0,Sleep stage W
4530,0,Sleep stage W
4560,0,Sleep stage W
4590,0,Sleep stage W
4620,0,Sleep stage W
4650,0,Sleep stage W
4680,0,Sleep stage W
4710,0,Sleep stage W
4740,0,Sleep stage W
4770,0,Sleep stage W
4800,0,Sleep stage W
4830,0,Sleep stage W
4860,0,Sleep stage W
4890,0,Sleep stage W
4920,0,Sleep stage W
4950,0,Sleep stage W
4980,0,Sleep stage W
5010,0,Sleep stage W
5040,0,Sleep stage W
5070,0,Sleep stage W
5100,0,Sleep stage W
5130,0,Sleep stage W
5160,0,Sleep stage W
5190,0,Sleep stage W
5220,0,Sleep stage W
5250,0,Sleep stage W
5280,0,Sleep stage W
5310,0,Sleep stage W
5340,0,Sleep stage W
5370,0,Sleep stage W
5400,0,Sleep stage W
5430,0,Sleep stage W
5460,0,Sleep stage W
5490,0,Sleep stage W
5520,0,Sleep stage W
5550,0,Sleep stage W
5580,0,Sleep stage W
5610,0,Sleep stage W
5640,0,Sleep stage W
5670,0,Sleep stage W
5700,0,Sleep stage W
5730,0,Sleep stage W
5760,0,Sleep stage W
5790,0,Sleep stage W
5820,0,Sleep stage W
5850,0,Sleep stage W
5880,0,Sleep stage W
5910,0,Sleep stage W
5940,0,Sleep stage W
5970,0,Sleep stage W
6000,0,Sleep stage W
6030,0,Sleep stage W
6060,0,Sleep stage W
6090,0,Sleep stage W
6120,0,Sleep stage W
6150,0,Sleep stage W
6180,0,Sleep stage W
6210,0,Sleep stage W
6240,0,Sleep stage W
6270,0,Sleep stage W
6300,0,Sleep stage W
6330,0,Sleep stage W
6360,0,Sleep stage W
6390,0,Sleep stage W
6420,0,Sleep stage W
6450,0,Sleep stage W
6480,0,Sleep stage W
6510,0,Sleep stage W
6540,0,Sleep stage W
6570,0,Sleep stage W
6600,0,Sleep stage W
6630,0,Sleep stage W
6660,0,Sleep stage W
6690,0,Sleep stage W
6720,0,Sleep stage W
6750,0,Sleep stage W
6780,0,Sleep stage W
6810,0,Sleep stage W
6840,0,Sleep stage W
6870,0,Sleep stage W
6900,0,Sleep stage W
6930,0,Sleep stage W
6960,0,Sleep stage W
6990,0,Sleep stage W
7020,0,Sleep stage W
7050,0,Sleep stage W
7080,0,Sleep stage W
7110,0,Sleep stage W
7140,0,Sleep stage W
7170,0,Sleep stage W
7200,0,Sleep stage W
7230,0,Sleep stage W
7260,0,Sleep stage W
7290,0,Sleep stage W
7320,0,Sleep stage W
7350,0,Sleep stage W
7380,0,Sleep stage W
7410,0,Sleep stage W
7440,0,Sleep stage W
7470,0,Sleep stage W
7500,0,Sleep stage W
7530,0,Sleep stage W
7560,0,Sleep stage W
7590,0,Sleep stage W
7620,0,Sleep stage W
7650,0,Sleep stage W
7680,0,Sleep stage W
7710,0,Sleep stage W
7740,0,Sleep stage W
7770,0,Sleep stage W
7800,0,Sleep stage W
7830,0,Sleep stage W
7860,0,Sleep stage W
7890,0,Sleep stage W
7920,0,Sleep stage W
7950,0,Sleep stage W
7980,0,Sleep stage W
8010,0,Sleep stage W
8040,0,Sleep stage W
8070,0,Sleep stage W
8100,0,Sleep stage W
8130,0,Sleep stage W
8160,0,Sleep stage W
8190,0,Sleep stage W
8220,0,Sleep stage W
8250,0,Sleep stage W
8280,0,Sleep stage W
8310,0,Sleep stage W
8340,0,Sleep stage W
8370,0,Sleep stage W
8400,0,Sleep stage W
8430,0,Sleep stage W
8460,0,Sleep stage W
8490,0,Sleep stage W
8520,0,Sleep stage W
8550,0,Sleep stage W
8580,0,Sleep stage W
8610,0,Sleep stage W
8640,0,Sleep stage W
8670,0,Sleep stage W
8700,0,Sleep stage W
8730,0,Sleep stage W
8760,0,Sleep stage W
8790,0,Sleep stage W
8820,0,Sleep stage W
8850,0,Sleep stage W
8880,0,Sleep stage W
8910,0,Sleep stage W
8940,0,Sleep stage W
8970,0,Sleep stage W
9000,0,Sleep stage W
9030,0,Sleep stage W
9060,0,Sleep stage W
9090,0,Sleep stage W
9120,0,Sleep stage W
9150,0,Sleep stage W
9180,0,Sleep stage W
9210,0,Sleep stage W
9240,0,Sleep stage W
9270,0,Sleep stage W
9300,0,Sleep stage W
9330,0,Sleep stage W
9360,0,Sleep stage W
9390,0,Sleep stage W
9420,0,Sleep stage W
9450,0,Sleep stage W
9480,0,Sleep stage W
9510,0,Sleep stage W
9540,0,Sleep stage W
9570,0,Sleep stage W
9600,0,Sleep stage W
9630,0,Sleep stage W
9660,0,Sleep stage W
9690,0,Sleep stage W
9720,0,Sleep stage W
9750,0,Sleep stage W
9780,0,Sleep stage W
9810,0,Sleep stage W
9840,0,Sleep stage W
9870,0,Sleep stage W
9900,0,Sleep stage W
9930,0,Sleep stage W
9960,0,Sleep stage W
9990,0,Sleep stage W
10020,0,Sleep stage W
10050,0,Sleep stage W
10080,0,Sleep stage W
10110,0,Sleep stage W
10140,0,Sleep stage W
10170,0,Sleep stage W
10200,0,Sleep stage W
10230,0,Sleep stage W
10260,0,Sleep stage W
10290,0,Sleep stage W
10320,0,Sleep stage W
10350,0,Sleep stage W
10380,0,Sleep stage W
10410,0,Sleep stage W
10440,0,Sleep stage W
10470,0,Sleep stage W
10500,0,Sleep stage W
10530,0,Sleep stage W
10560,0,Sleep stage W
10590,0,Sleep stage W
10620,0,Sleep stage W
10650,0,Sleep stage W
10680,0,Sleep stage W
10710,0,Sleep stage W
10740,0,Sleep stage W
10770,0,Sleep stage W
10800,0,Sleep stage W
10830,0,Sleep stage W
10860,0,Sleep stage W
10890,0,Sleep stage W
10920,0,Sleep stage W
10950,0,Sleep stage W
10980,0,Sleep stage W
11010,0,Sleep stage W
11040,0,Sleep stage W
11070,0,Sleep stage W
11100,0,Sleep stage W
11130,0,Sleep stage W
11160,0,Sleep stage W
11190,0,Sleep stage W
11220,0,Sleep stage W
11250,0,Sleep stage W
11280,0,Sleep stage W
11310,0,Sleep stage W
11340,0,Sleep stage W
11370,0,Sleep stage W
11400,0,Sleep stage W
11430,0,Sleep stage W
11460,0,Sleep stage W
11490,0,Sleep stage W
11520,0,Sleep stage W
11550,0,Sleep stage W
11580,0,Sleep stage W
11610,0,Sleep stage W
11640,0,Sleep stage W
11670,0,Sleep stage W
11700,0,Sleep stage W
11730,0,Sleep stage W
11760,0,Sleep stage W
11790,0,Sleep stage W
11820,0,Sleep stage W
11850,0,Sleep stage W
11880,0,Sleep stage W
11910,0,Sleep stage W
11940,0,Sleep stage W
11970,0,Sleep stage W
12000,0,Sleep stage W
12030,0,Sleep stage W
12060,0,Sleep stage W
12090,0,Sleep stage W
12120,0,Sleep stage W
12150,0,Sleep stage W
12180,0,Sleep stage W
12210,0,Sleep stage W
12240,0,Sleep stage W
12270,0,Sleep stage W
12300,0,Sleep stage W
12330,0,Sleep stage W
12360,0,Sleep stage W
12390,0,Sleep stage W
12420,0,Sleep stage W
12450,0,Sleep stage W
12480,0,Sleep stage W
12510,0,Sleep stage W
12540,0,Sleep stage W
12570,0,Sleep stage W
12600,0,Sleep stage W
12630,0,Sleep stage W
12660,0,Sleep stage W
12690,0,Sleep stage W
12720,0,Sleep stage W
12750,0,Sleep stage W
12780,0,Sleep stage W
12810,0,Sleep stage W
12840,0,Sleep stage W
12870,0,Sleep stage W
12900,0,Sleep stage W
12930,0,Sleep stage W
12960,0,Sleep stage W
12990,0,Sleep stage W
13020,0,Sleep stage W
13050,0,Sleep stage W
13080,0,Sleep stage W
13110,0,Sleep stage W
13140,0,Sleep stage W
13170,0,Sleep stage W
13200,0,Sleep stage W
13230,0,Sleep stage W
13260,0,Sleep stage W
13290,0,Sleep stage W
13320,0,Sleep stage W
13350,0,Sleep stage W
13380,0,Sleep stage W
13410,0,Sleep stage W
13440,0,Sleep stage W
13470,0,Sleep stage W
13500,0,Sleep stage W
13530,0,Sleep stage W
13560,0,Sleep stage W
13590,0,Sleep stage W
13620,0,Sleep stage W
13650,0,Sleep stage W
13680,0,Sleep stage W
13710,0,Sleep stage W
13740,0,Sleep stage W
13770,0,Sleep stage W
13800,0,Sleep stage W
13830,0,Sleep stage W
13860,0,Sleep stage W
13890,0,Sleep stage W
13920,0,Sleep stage W
13950,0,Sleep stage W
13980,0,Sleep stage W
14010,0,Sleep stage W
14040,0,Sleep stage W
14070,0,Sleep stage W
14100,0,Sleep stage W
14130,0,Sleep stage W
14160,0,Sleep stage W
14190,0,Sleep stage W
14220,0,Sleep stage W
14250,0,Sleep stage W
14280,0,Sleep stage W
14310,0,Sleep stage W
14340,0,Sleep stage W
14370,0,Sleep stage W
14400,0,Sleep stage W
14430,0,Sleep stage W
14460,0,Sleep stage W
14490,0,Sleep stage W
14520,0,Sleep stage W
14550,0,Sleep stage W
14580,0,Sleep stage W
